,0
91,Meeting ‘em power ladisss while toasting to books:) . @RegaJha finally we meet! I love your glasses and your teeth… https://t.co/wbG6uVU9ub
92,"Did you hear the animals speak in my studio? The dogs, cats, birds, cows... about their dependency on you and me fo… https://t.co/NJ5WCES3k4"
93,Check this out NOW! That chat that everyone is talking about ;) https://t.co/B9eiTeV9PW
94,Leading her by the hand ..Coz ladies sangeet! #KareenaKapoorKhan being a true Veere in my studio! #dancediva… https://t.co/aFlphYngKB
95,OMG! Listening to the interviews with the Veeres again. So funny! Sonam Kapoor coming up talking about things Anand… https://t.co/rqthHUsHK3
96,Veere Ki shadi hum sab deewane! Who needs an interview when the ladies chat at the drop of a hat? @ReallySwara… https://t.co/XnEJFb1iVu
97,Imma be your fave sexy contestant evvvvver:) #thegeneralfungameshow #cantwait is happening 😈 https://t.co/soIwdnvt0P
98,Growing up one of the dreams @k_satyarthi had was to take a selfie with a Nobel https://t.co/WGnQTIqwxA came true f… https://t.co/OXNnOYTbj7
99,"@KarishmaWrites This is actually just a ‘Note to Self’ isn’t it, Kim? 🙄"
100,"RT @arjunk26: With great pleasure, I would like to congratulate &amp; celebrate the #BendTheGender winners! 
All their stories are unique &amp; exc…"
101,"That’s the way, Faye;) Still singing the song I sang when we first met. I don’t know another who deserves it more❤️… https://t.co/39rdFZb5mH"
102,"RT @indiaradioforum: The Best Marketing Campaign is bagged by @RedFMIndia for show conducted by @mymalishka - Malishka Ko Matt Sunn.

#IRF2…"
103,"A throne added , a chair deleted! I’ve slept like a princess that got pricked by a needle (Ok,cough medication 🙄) a… https://t.co/rgXWPwk3GC"
104,I have been wanting to meet you for so long now!! It’s High time! Never mind another Time. #Highjack -time https://t.co/jGyZ1hQ1Tz
105,@kaneezsurka Whoa!! I just wanna see which ones will be the winners? Will they be on your #TheGeneralFungameshow li… https://t.co/7AWDITxiRk
106,"Isn’t it unnerving when the plane staff comes around to check on your seat belts? You’re pulling your stomach in, t… https://t.co/o6NBS4KwQN"
107,Brava!! https://t.co/5NMYSxi31i
108,I have been wanting to meet you for so long now!! Never mind another Time. It’s High Time;) #Highjack -time https://t.co/jGyZ1hQ1Tz
109,"Was my pleasure. So good to see you on the big screen, all born to it:) https://t.co/6yWTiDdlkO"
110,A super film to get high on esp the laughs:) I guess good actors lift every line even if it’s a simple one!… https://t.co/4jbgECwYIa
111,"Mumbai, aren't you tired of being stuck in traffic for hours?? It can all change! Explore #NewCuffeParade by @LODHA… https://t.co/bWsTQqPVfl"
112,"Dayumm! So obvious but so easy to forget and so powerful to remember during hangout’s, negotiations,living life in… https://t.co/kklgVNOIwM"
113,Aam ke Aam... unhi ke naam arzz hai... because mango is bae❤️💋Especially the ‘low hanging fruit’ 😆 And in Mangalore… https://t.co/ZhqZnzPEFm
114,@fayedsouza How on earth would you know that??? Such a Journo na😳
115,#Mangaloreweddings #Not@ine before you ask:) but dressing up is such fun. And dancing at a Catholic wedding... u ha… https://t.co/n1lCNp5J0j
116,Shy-type Mangalore mornings 😊 #touchmenot #consent https://t.co/1c4xRXfZ9o
117,Who is dealing with what and how who on the outside ever knows. It’s unbelievable and painful to think. RIP… https://t.co/NEVQztkw9i
118,"Ok folks, spinning stories, telling the truth, opining, entertaining,Being The Voice, philosophising, interviewing,… https://t.co/XHfxScSlId"
119,I am super-pumped and slightly nervous might I add! With these 2 sexy contestants and Queen Sexy KS (that’s you Kan… https://t.co/viiyb7YRKU
120,I have sent details by DM. It was an 8.50am  flight and we are roasting inside and no word. https://t.co/kQT3NgmDIs
121,Dear @flyspicejet your flight is not only 2 hours or so late to take-off but also You’ve got hundreds of people on… https://t.co/y8fVVZVRt6
122,Could he be awake after the grand #SonamKiShadi celebrations and be here bending genders LIVE in the flesh? Answer:… https://t.co/cHvMjSMpMi
123,Throwback to our studios with @arjunk26 ... For now We are bending the gender at Phoenix marketcity Kurla.… https://t.co/7CgztAwKtx
124,You should listen to the comments coming in on my show though! 😄 Lit! Esp the aunty who said hamare zamane mein kyu… https://t.co/t2mOEwJhbL
125,To Live-in or NOT that is the question. The SC has said that adults can live-in even if they aren’t of marriageable… https://t.co/9AERguvRhX
126,"Today on my show:@arjunk26 and I at phoenix marketcity at 4 #bendthegender, Sachin Pilgaonkar and Swapnil Joshi mee… https://t.co/h4ux0qvuMm"
127,"Yeah check out our Veere, perhaps on the way to her reception in her finest, reminding us what wedding vs marriage… https://t.co/2wd3tnCFde"
128,Yeah I thought it could sparkle so much more. I kept feeling that she had incredible stories to share that didn’t q… https://t.co/hWcEG876yI
129,Our girl @sonamakapoor Ki shaadi and a beautiful throwback on my show when she told me the difference between shaad… https://t.co/2yqzlQxPD5
130,Last night ..............this morning. We clean up good;) #TheAfternoon   newspaper https://t.co/wFcxhsAWAx
131,People charmed by the Radio life! I invited a few young ‘uns to the studio to try their hand or rather their voice… https://t.co/v1RyHaJdhS
132,Ishan Modi wrote to me on FB : mymalishka. So now we Gotta take this up. Who is with me? Have you seen said breaker… https://t.co/azyzS2azpp
133,RT @NishantBangera1: @mymalishka thank you so much for having us in your supremely positive studio! It ws an amazing time that we hd. U r a…
134,The play is back! #BilquisBegumkabaada . Catch us at 5 pm this eve at the theatre of theatres @PrithviTheatre Juhu:… https://t.co/GwZHi0NKg4
