,0
104,@BajpayeeManoj @shaadesh Thankq Sir ! Ab life mein goal hai toh yahan bhi ho jayega 😜
105,@abhilashthapli Tu mera all time favourite line wala hai
106,"Asal khiladi woh nahi jo kabhi girte nahi, woh hai jo girke fir uth jaye! 
Watch the inspirational tale of one such… https://t.co/4yKCjESjYO"
107,Excitement galore ! There is no better feeling than to be a part of a true story! Bring it on 💪🏼 🏑 #Soorma… https://t.co/dTB2RSw1bI
108,Calm before the thunder..... n m not talking about the Mumbai Rains. #Soormatrailer releasing in a few hours and I… https://t.co/yColxly9tU
109,@Imangadbedi When am I not Bedi 😜
110,@Imangadbedi And long way to go too Bedi! See u tomorrow ! Our “chakk de moment” 😜
111,"Kamyabi milti nahi, haasil ki jati hai! Watch #SandeepSingh's tale of inspiration, compassion and success!… https://t.co/52KvndqYIl"
112,"RT @ndtv: 6,000 schoolgirls in Jammu and Kashmir's Rajouri district to get self-defence training https://t.co/x2dv1khPZB https://t.co/6y8XA…"
113,"Here's a story of an unsung hero, whose journey will reinforce your hopes and bind your courage! 2 days to… https://t.co/incQkhk1QF"
114,"RT @LakshmiManchu: Facing the odds of the society and its people, Deeksha is on her journey towards justice. Take a look at her story as #W…"
115,Hard-work and endurance. Two words that define #SandeepSingh ’s enthralling journey. #SoormaTrailer out in 3 days! https://t.co/XDunRMlY2Q
116,First time I agree with u! https://t.co/PKJwJNj5xM
117,@Shibasishsarkar @kapzverma @vickyarora86 @LargeShortFilms Thankq :)
118,Here it is..... hope you all enjoy watching this effort to bring a unique story to you. My first short film...… https://t.co/9FcutBrsD2
119,"RT @avigowariker: #PostPackUpShot with this DilliWaali beauty! Her involvement &amp; logic in every aspect of the shoot , from her make up to t…"
120,That’s what comes out of @avigowariker ‘s… https://t.co/uSZ3Wckjk4
121,@currentshah Thankq 🙏🏼
122,@BajpayeeManoj @kapzverma @YouTube Do tell us what u feel about it after u watch it 😁
123,@MrVijayVarma @ronnielahiri @khamkhaArtist @shagunpannu Thankq
124,"Here’s the trailer of #Nitishastra 
A short film releasing on 4th June 2018 
@kapzverma 
@vickyarora86… https://t.co/hu4dDsa8cp"
