,0
71,"RT @DrKumarVishwas: आतंक से लड रही सेना के ख़िलाफ़ राजनीति नहीं करने दूँगा यह सुनकर,आत्मा का सौदा कर लेने वाले 11 नवपतित गिद्धों को जमा कर…"
72,Heightof over acting again. #SatyamevaJayate
73,"RT @KapilMishra_IND: जब से कल #SurgicalStrikeVideo मीडिया में रिलीज हुए

बैंगलोर में सोफ़े पे पड़े हुए केजरीवाल को लगातार दौरे पड़ रहे हैं"
74,"RT @KapilMishra_IND: On #SurgicalStrikeVideo -

#SurgicalStrikes के तुरंत बाद केजरीवाल सन्नाटे में थे

फ़िर देश के बाहर से आदेश मिला

पहले…"
75,"#Race3 MY TAKE : 
Victim of biased media!

As per media, Race3 shd hav completely crashed after first monday but it… https://t.co/4TDA2ulVzD"
76,RT @madhukishwar: Dear @PMOIndia Govt would be failing India if it doesn't lodge criminal defamation case against Reuters for by publishing…
77,"Good night guys. 
Sleep tight. 🙏🙏🙏🙏🙏"
78,"@basak_sanam This is very sensitive matter. I was thinking the same like you when matters like Akhlaq came, beef ba… https://t.co/bXVifSFPcO"
79,"@basak_sanam 100 saal jiyoge aap. Abhi soch raha tha no tweets from Sanam जी 😊

Btw, regarding flag, yes you r abso… https://t.co/JOTiDli6qv"
80,"Hey shilpians , any news about queen #ShilpaShinde ?"
81,@rajesh_baisoya Konsa prob bhai jaan
82,I stopped watching football 😎 https://t.co/7DXKEJP5X7
83,"Jindagi ke safar me nikal jate hai wo maqaam , wo phir nahi aate.   

Sala purana time bahut hi khass tha

 #RDBurman"
84,"I find new #Zingaat LOW QUALITY compared to original song. 

Do you agree?"
85,Latest Stats = 13 Followers and 11 Unfollowers (tracked by https://t.co/ZIgtIQhsJR)
86,"RT @arti_agarwal: @AhmAsmiYodha @KapilMishra_IND @narendramodi @nitin_gadkari @PiyushGoyal @girirajsinghbjp Dear @ArvindKejriwal, we were e…"
87,"RT @aajtak: एक तरफ जहां दिल्ली वाले बिजली की किल्लत से जूझ रहे हैं वहीं दिल्ली सरकार बिजली कंपनीयों को फायदा पहुंचाने में लगी है
@sushantm8…"
88,"Blockbuster #Race3 collected 2.25 cr on Tuesday. 
Total 160 cr nett 😊😊😊"
89,"#Sanju advance booking is awesome. Day 1 can be more than 30 cr. 
Mainly due to plexes not Single screens"
90,"RT @taran_adarsh: Remembering RD Burman sahab on his birth anniversary...
ज़िन्दगी के सफ़र में गुज़र जाते हैं जो मकाम...
वो फिर नहीं आते...…"
91,Zakass tweet 😂😂😂😂 https://t.co/F0OFWQT3E1
92,Good morning all. https://t.co/MVv1FVqJ7D
93,"RT @me_proudindian: @KamalRKaan बड़ा सवाल-
50 ‌‌लाख की आबादी का देश फुटबॉल विश्वकप खेल रहा है, 
जबकी 125 करोड़ वाला देश हिन्दू-मुसलमान खेल…"
94,I agree https://t.co/LLJaHmRNK8
95,"Here goes the first goal from superstar #Messi 

#NGAARG https://t.co/l7Dgp462xw"
96,"RT if you think, Messi looks like Girish Kumar 😂😂
Just difference is, Messi is super hit and Girish is super flop 🤪

 #NGAARG"
97,Who are you supporting tonight?#NGAARG
