,Unnamed: 0,0
161,161,"All @BeingSalmanKhan fans,
Do you want Salman bhai to do film with blockbuster director @ARMurugadoss ??

#Sarkar2ndLook #Sarkar"
162,162,"Sir, with all due respect,

Alll fans want you to do HATKE movies with directors like SLB, Hirani, Farhan/Zoya, Kab… https://t.co/aL7gTI3yJu"
163,163,"#RACE3 
WEEK 1 : 138 cr nett 

Business has droppped badly and i wont do 175 cr business. If it does then it will have AVERAGE tag."
164,164,"@basak_sanam Well, I really don’t know anything about this. Where can i see that"
165,165,"How was your day guys?
Long time no talk. Lets talk tomm night 10PM. 

#AskPKRK"
166,166,"Tere jaise mahaan atma jinda hai isiliye Kejriwal jaiso ki daal gal rahi hai.  

Cancer aur khaansi Zukaam me fark… https://t.co/2A88q4diqG"
167,167,"Kamaal hai @ArvindKejriwal ki,

Mohalla clinics ko world class bolte hai aur khud ilaaj ke liye Bangalore nikalte hai 😂😂😂"
168,168,Last 24 Hours = 12 Followers and 11 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
170,170,RT @NathRaviShankar: https://t.co/dS7c0fiNOr
171,171,"Some good news for #Race3 

Race3 maintained at same level as it was on Wednesday. Collected good 8 cr nett. Drop i… https://t.co/LWyVwjPxGR"
172,172,"On the eve of #InternationalYogaDay2018
I request everyone to accept YOGA as Integral part of our lives and make ou… https://t.co/ORPyLxVnFl"
173,173,One must THANK honourable prime minister @narendramodi  for giving #InternationalYogaDay2018 to the world. 🙏🙏
174,174,RT @Javedakhtarjadu: Those  gau rakshak who killed one n badly battered another man in Hapur should be punished for their barbaric act but…
175,175,Good morning folks. Waqt kisi ka nahi ho. https://t.co/cgwMgV7EKx
176,176,"Ye dekho, jinko gaali de ke maidan me jite the unke sath hi Abhi gathbandhan banayenge UTURN specialist… https://t.co/OXYb5bdTOE"
177,177,"God bless you ka kab “GBU” ho gaya pata hi nahi chala. 😂😂

Sab kuch short me bc 🤪

Good morning"
179,179,"SORRY guys but #RACE3 Is FLOP 😷👎👎👎

Bhai must do good films with GOOD DIRECTORS now on. 🙏🙏"
180,180,"19 Followed, 8 Unfollowed me (monitored by https://t.co/ZIgtIQhsJR)"
181,181,"The day @BeingSalmanKhan will become DIRECTORS ACTOR then there is NO LOOKING BACK. 

However, he shd work with dir… https://t.co/KNcGS74V2Y"
182,182,"@basak_sanam @RahulGandhi What is secular according to you? 
I hate this word secular as no politician is secular.… https://t.co/D3H1TtI9pf"
184,184,RT @taran_adarsh: IT'S OFFICIAL... Red Chillies Entertainment announces its next film in association with Azure Entertainment... Titled #Ba…
185,185,Welcome to my new 30 followers and goodbye to 3 unfollowers (FREE stats by https://t.co/bpLMmfMPZE)
186,186,"Sir, forget BJP , tell us when are you going to pull out of SOFA?😜😜😜

After ruining it? 😂😂

#BJPPDPalliance https://t.co/t1blz37ewv"
189,189,"Great great move by @BJP4India and @narendramodi ji after long 3 years. It was due and on cards. 

This alliance ha… https://t.co/ITBdx8GWJu"
190,190,"RT @ashokepandit: Withdrawal of support to @jkpdp is a great decision by the @BJP4India, which we were demanding for long. #GovernorsRule i…"
192,192,"Considering normal weekday and EID  is not as big holiday occasion like Christmas or Diwali, #Race3 has done god bu… https://t.co/QkzuALcFF1"
